crop_id:r1,name
09c21c31-53f5-4159-8ae1-2c1a8df6767e,alfalfa
fab5d379-4434-46d0-be1e-33a77e92642f,corn
07d82576-c548-4b90-a8f8-6d7ba0144cc8,cotton
c498461e-9db6-47ac-ba2f-5ea602e525ee,cucumber
2bc6eca8-397b-4cae-9bc8-fd3bce032b22,fallow
acf9c77a-a239-4949-b56c-36cf4017ac73,pasture
97241d6c-fbab-4c7a-9ba4-d94afa137790,potato
3f6d097d-c2db-48b6-8b28-e8981891401c,safflower
3cc1e6ee-f141-41c8-8399-f53aea5944dc,wheat
494cfbff-cf0d-44fc-98d3-7704f6eafcf3,barley
f4180d6c-9484-45b3-a013-0e393af48f7f,strawberry
573bbe66-71a9-4e51-9a50-48458a8a8b79,sudan grass
6dc697cd-b8d0-4dd9-8ad2-0e7f317b93e3,tomato
f38fcb32-1943-4b3b-99ea-6d67cf5ce061,vineseed
